,epoch,tag,variable,value,training_time,sem_variant
20754,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2349237850471397,923.0986329506175,full
20755,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2215763804011202,923.0986329506175,full
20756,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2293092516962113,923.0986329506175,full
20757,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,114.45198767901233,full
20758,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1628739657454017,114.45198767901233,full
20759,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1681166890503385,114.45198767901233,full
20760,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.167412760800902,114.45198767901233,full
20761,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1786457554679897,114.45198767901233,full
20762,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1610757852257794,114.45198767901233,full
20763,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1910380094858074,114.45198767901233,full
20764,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1518292946526952,114.45198767901233,full
20765,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1906889266276787,114.45198767901233,full
20766,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1809052309444681,114.45198767901233,full
20767,11,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2063400670645169,114.45198767901233,full
20768,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,9.992520481481481,full
20769,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1294949127550755,9.992520481481481,full
20770,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1200594678039678,9.992520481481481,full
20771,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1289840950924143,9.992520481481481,full
20772,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1377873648992941,9.992520481481481,full
20773,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1166310840205466,9.992520481481481,full
20774,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1264970885952202,9.992520481481481,full
20775,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1026523356491045,9.992520481481481,full
20776,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1167678998002978,9.992520481481481,full
20777,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.10120144164448,9.992520481481481,full
20778,1,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1302144382379808,9.992520481481481,full
20779,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,625.3894313086419,full
20780,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1984529928899383,625.3894313086419,full
20781,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1920684219647584,625.3894313086419,full
20782,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1967504759478975,625.3894313086419,full
20783,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2098830291042846,625.3894313086419,full
20784,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1955310796865504,625.3894313086419,full
20785,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2150618987634162,625.3894313086419,full
20786,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2036706923594866,625.3894313086419,full
20787,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2085684483771878,625.3894313086419,full
20788,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1939047143201145,625.3894313086419,full
20789,61,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.196649403773327,625.3894313086419,full
20790,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,318.0342232839506,full
20791,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1992254620206248,318.0342232839506,full
20792,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1962007863221216,318.0342232839506,full
20793,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1889599179226295,318.0342232839506,full
20794,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2007735807655261,318.0342232839506,full
20795,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1799061129774006,318.0342232839506,full
20796,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1915625079919663,318.0342232839506,full
20797,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1848159178700009,318.0342232839506,full
20798,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.196349078856922,318.0342232839506,full
20799,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1821953548918439,318.0342232839506,full
20800,31,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.196863381304854,318.0342232839506,full
20801,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,725.8009111234568,full
20802,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2216609723570843,725.8009111234568,full
20803,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2108544298465787,725.8009111234568,full
20804,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2113563988295748,725.8009111234568,full
20805,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2046369057885881,725.8009111234568,full
20806,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2242917733684115,725.8009111234568,full
20807,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2265623658716912,725.8009111234568,full
20808,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2270903615322194,725.8009111234568,full
20809,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2246837913357895,725.8009111234568,full
20810,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2168814566724606,725.8009111234568,full
20811,71,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2063476618178126,725.8009111234568,full
20812,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,826.7978039259258,full
20813,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2298997269315003,826.7978039259258,full
20814,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2297483155805572,826.7978039259258,full
20815,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2238847571156598,826.7978039259258,full
20816,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2245735095922054,826.7978039259258,full
